Timestamp,Email Address,Write a sentence or two to respond to each question above. ,"Thinking very broadly, where would you locate your summer internship, research or work experience in academic terms (note this is about your summer experience which may not match your major).","Thinking about your learning process, pick the best 2-3 terms that describe your internship, research or work experience",Pick the best 2-3 terms that describe your internship in broad occupational terms.,What is your major?,Please state your second major or minor if you have one 
##########,Student32,Blah blah blah,Arts,"I learned a lot about preparing for life after MHC, My internship or summer experience was defined by substantial challenges, My internship or summer experience was defined by substantial challenges","Communications, Banking, Policy",Blah blah blah,Blah blah blah
##########,Student33,Blah blah blah,Natural sciences,"My internship or summer experience was successful beyond my dreams, My internship or summer experience connected me to new place and new people, I connected local and global experiences in new ways","Journalism, Social justice, Policy",Blah blah blah,Blah blah blah
##########,Student34,Blah blah blah,Natural sciences,"I learned a lot about preparing for life after MHC, My internship or summer experience connected me to new place and new people, My internship or summer experience was defined by substantial challenges","Writing, Social justice, Communications",Blah blah blah,Blah blah blah
##########,Student35,Blah blah blah,Arts,"I learned a lot about time management, I connected local and global experiences in new ways, I learned a lot about preparing for life after MHC","Humanitarianism, Media, Media",Blah blah blah,Blah blah blah
##########,Student36,Blah blah blah,Humanities,"My internship or summer experience was defined by substantial challenges, I learned a lot about preparing for life after MHC, I connected local and global experiences in new ways","Media, Humanitarianism, Banking",Blah blah blah,Blah blah blah
##########,Student37,Blah blah blah,Arts,"My internship or summer experience was successful beyond my dreams, I learned a lot about time management, I learned a lot about preparing for life after MHC","Research, Communications, Social justice",Blah blah blah,Blah blah blah
##########,Student38,Blah blah blah,Social sciences,"I learned a lot about preparing for life after MHC, My internship or summer experience was successful beyond my dreams, I learned a lot about time management","Banking, Data analysis, Science",Blah blah blah,Blah blah blah
##########,Student39,Blah blah blah,Humanities,"My internship or summer experience connected me to new place and new people, My internship or summer experience was defined by substantial challenges, My internship or summer experience was successful beyond my dreams","Social justice, Science, Banking",Blah blah blah,Blah blah blah
##########,Student40,Blah blah blah,Natural sciences,"My internship or summer experience connected me to new place and new people, My internship or summer experience was successful beyond my dreams, My internship or summer experience was defined by substantial challenges","Banking, Journalism, Science",Blah blah blah,Blah blah blah
##########,Student41,Blah blah blah,Humanities,"My internship or summer experience was defined by substantial challenges, My internship or summer experience was successful beyond my dreams, I learned a lot about preparing for life after MHC","Business, Journalism, Media",Blah blah blah,Blah blah blah
##########,Student42,Blah blah blah,Natural sciences,"I learned a lot about preparing for life after MHC, My internship or summer experience connected me to new place and new people, My internship or summer experience was successful beyond my dreams","Banking, Research, Tech",Blah blah blah,Blah blah blah
##########,Student43,Blah blah blah,Humanities,"I connected local and global experiences in new ways, I learned a lot about time management, My internship or summer experience was defined by substantial challenges","Policy, Banking, Media",Blah blah blah,Blah blah blah
##########,Student44,Blah blah blah,Humanities,"I learned a lot about time management, I learned a lot about time management, My internship or summer experience was defined by substantial challenges","Business, Journalism, Data analysis",Blah blah blah,Blah blah blah
##########,Student45,Blah blah blah,Arts,"I connected local and global experiences in new ways, My internship or summer experience was successful beyond my dreams, My internship or summer experience was defined by substantial challenges","Health, Marketing, Sustainability",Blah blah blah,Blah blah blah
##########,Student46,Blah blah blah,Natural sciences,"I learned a lot about time management, My internship or summer experience was defined by substantial challenges, I connected local and global experiences in new ways","Policy, Marketing, Data analysis",Blah blah blah,Blah blah blah
##########,Student47,Blah blah blah,Social sciences,"My internship or summer experience was successful beyond my dreams, I learned a lot about preparing for life after MHC, My internship or summer experience was defined by substantial challenges","Writing, Data analysis, Journalism",Blah blah blah,Blah blah blah
##########,Student48,Blah blah blah,Social sciences,"I connected local and global experiences in new ways, My internship or summer experience was defined by substantial challenges, My internship or summer experience connected me to new place and new people","Journalism, Media, Marketing",Blah blah blah,Blah blah blah
##########,Student49,Blah blah blah,Humanities,"I learned a lot about time management, My internship or summer experience connected me to new place and new people, I connected local and global experiences in new ways","Journalism, Science, Communications",Blah blah blah,Blah blah blah
